situation,g,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts
,,2986,,,,,,,,,,,,,,,,,,
,,931,,,,,,,,,,,,,,,,,,
,,76%,,,,,,,,,,,,,,,,,,
,,2579,,,,,,,,,,,,,,,,,,
,,1339,,,,,,,,,,,,,,,,,,
,,66%,,,,,,,,,,,,,,,,,,
,,2569,,,,,,,,,,,,,,,,,,
,,1348,,,,,,,,,,,,,,,,,,
,,66%,,,,,,,,,,,,,,,,,,
,,1915,,,,,,,,,,,,,,,,,,
,,2003,,,,,,,,,,,,,,,,,,
,,49%,,,,,,,,,,,,,,,,,,
,,1787,,,,,,,,,,,,,,,,,,
,,2130,,,,,,,,,,,,,,,,,,
,,46%,,,,,,,,,,,,,,,,,,
,,1487,,,,,,,,,,,,,,,,,,
,,2430,,,,,,,,,,,,,,,,,,
,,38%,,,,,,,,,,,,,,,,,,
,,1372,,,,,,,,,,,,,,,,,,
,,2545,,,,,,,,,,,,,,,,,,
,,35%,,,,,,,,,,,,,,,,,,
,,1297,,,,,,,,,,,,,,,,,,
,,2621,,,,,,,,,,,,,,,,,,
,,33%,,,,,,,,,,,,,,,,,,
,,1128,,,,,,,,,,,,,,,,,,
,,2790,,,,,,,,,,,,,,,,,,
,,29%,,,,,,,,,,,,,,,,,,
,,872,,,,,,,,,,,,,,,,,,
,,3046,,,,,,,,,,,,,,,,,,
,,22%,,,,,,,,,,,,,,,,,,
,,851,,,,,,,,,,,,,,,,,,
,,3066,,,,,,,,,,,,,,,,,,
,,22%,,,,,,,,,,,,,,,,,,
,,419,,,,,,,,,,,,,,,,,,
,,3498,,,,,,,,,,,,,,,,,,
,,11%,,,,,,,,,,,,,,,,,,
,,267,,,,,,,,,,,,,,,,,,
,,3650,,,,,,,,,,,,,,,,,,
,,7%,,,,,,,,,,,,,,,,,,
,,40,,,,,,,,,,,,,,,,,,
,,3878,,,,,,,,,,,,,,,,,,
,,1%,,,,,,,,,,,,,,,,,,
,,18,,,,,,,,,,,,,,,,,,
,,3899,,,,,,,,,,,,,,,,,,
,,0%,,,,,,,,,,,,,,,,,,
