rank,player,value,season,team_id
169.,Kevin Garnett,,2002-03,
170.,Kareem Abdul-Jabbar,,1974-75,
171.,David Robinson,,1989-90,
172.,Nikola Jokić,,2016-17,
173.,Karl-Anthony Towns,,2018-19,
174.,Nikola Jokić,,2018-19,
175.,Dwyane Wade,,2011-12,
176.,Stephen Curry,,2020-21,
177.,Bob Pettit,,1957-58,
178.,Anthony Davis,,2024-25,
179.,Chris Paul,,2015-16,
180.,Oscar Robertson,,1961-62,
181.,Chris Paul,,2016-17,
182.,Karl Malone,,1992-93,
183.,Kevin Durant,,2011-12,
184.,Julius Erving,,1974-75,
185.,LeBron James,,2021-22,
186.,Kobe Bryant,,2002-03,
187.,Kevin Durant,,2009-10,
188.,Joel Embiid,,2018-19,
189.,DeMarcus Cousins,,2013-14,
190.,Tim Duncan,,2006-07,
191.,Dirk Nowitzki,,2004-05,
192.,Dwight Howard,,2010-11,
193.,Jalen Duren,,2025-26,
194.,Giannis Antetokounmpo,,2016-17,
195.,Kobe Bryant,,2006-07,
196.,Kawhi Leonard,,2015-16,
197.,Kawhi Leonard,,2020-21,
198.,Neil Johnston,,1954-55,
199.,Hakeem Olajuwon,,1994-95,
200.,Chris Paul,,2014-15,
201.,Karl Malone,,1995-96,
202.,Kevin Durant,,2017-18,
203.,LeBron James,,2014-15,
204.,Karl-Anthony Towns,,2016-17,
205.,Chris Paul,,2013-14,
206.,Julius Erving,,1981-82,
207.,Oscar Robertson,,1960-61,
208.,Allen Iverson,,2005-06,
209.,Charles Barkley,,1992-93,
210.,Kevin Durant,,2022-23,
211.,Neil Johnston,,1952-53,
212.,Michael Jordan,,1984-85,
213.,Kawhi Leonard,,2018-19,
214.,Neil Johnston,,1953-54,
215.,Anthony Davis,,2023-24,
216.,Patrick Ewing,,1989-90,
217.,Bob McAdoo,,1974-75,
218.,DeMarcus Cousins,,2016-17,
219.,Joel Embiid,,2019-20,
220.,Alonzo Mourning,,1999-00,
221.,Red Robbins,,1967-68,
222.,Julius Erving,,1973-74,
223.,Paul Arizin,,1951-52,
224.,LeBron James,,2004-05,
225.,Hassan Whiteside,,2015-16,
226.,Yao Ming,,2005-06,
227.,Kevin Durant,,2021-22,
228.,Larry Bird,,1985-86,
229.,Damian Lillard,,2020-21,
230.,Karl Malone,,1998-99,
231.,LeBron James,,2018-19,
232.,Dwyane Wade,,2010-11,
233.,Dirk Nowitzki,,2002-03,
234.,Grant Hill,,1996-97,
235.,Oscar Robertson,,1966-67,
236.,Hakeem Olajuwon,,1995-96,
237.,LeBron James,,2019-20,
238.,Kareem Abdul-Jabbar,,1980-81,
239.,Kareem Abdul-Jabbar,,1978-79,
240.,Nikola Vučević,,2018-19,
241.,Trae Young,,2021-22,
242.,Dwight Howard,,2008-09,
243.,Karl Malone,,1991-92,
244.,Kevin Love,,2011-12,
245.,Julius Erving,,1979-80,
246.,Dolph Schayes,,1952-53,
247.,John Drew,,1975-76,
248.,Kareem Abdul-Jabbar,,1979-80,
249.,James Harden,,2015-16,
250.,Hakeem Olajuwon,,1993-94,
