endpoint,status,row_count,error,output_file
team_starting_lineups,ERROR,0,HTTPError: 403 Client Error: Forbidden for url: https://www.basketball-reference.com/teams/BOS/2000_start.html,,,0.0,0
team_on_off,ERROR,0,HTTPError: 403 Client Error: Forbidden for url: https://www.basketball-reference.com/teams/BOS/2000/on-off/,,,0.0,0
team_opponent_stats,ERROR,0,HTTPError: 403 Client Error: Forbidden for url: https://www.basketball-reference.com/teams/BOS/2000.html,,,0.0,0
franchise_history,ERROR,0,HTTPError: 403 Client Error: Forbidden for url: https://www.basketball-reference.com/teams/BOS/,,,0.0,0
standings,ERROR,0,AttributeError: 'NoneType' object has no attribute 'eastern_conference_table',,,0.73,0
player_box_scores,ERROR,0,"InvalidDate: Date with year set to 2024, month set to 3, and day set to 11 is invalid",,,0.53,0
regular_season_player_box_scores,OK,0,,,200,1.13,0
playoff_player_box_scores,ERROR,0,"InvalidPlayerAndSeason: Player with identifier ""jamesle01"" in season ending in 2013 is invalid",,,0.78,0
season_schedule,ERROR,0,"ValueError: time data 'Date' does not match format '%a, %b %d, %Y'",,,0.87,0
players_season_totals,OK,0,,,200,1.76,0
players_advanced_season_totals,OK,0,,,200,1.74,0
team_box_scores,OK,0,,,200,2.41,0
play_by_play,ERROR,0,IndexError: list index out of range,,,0.87,0
search,OK,0,,,200,0.57,0
league_per_game_stats,OK,0,,,200,1.7,0
league_per_36_minutes,OK,0,,,200,1.98,0
league_totals,OK,0,,,200,1.95,0
rookie_stats,OK,0,,,200,0.71,0
standings_by_date,OK,0,,,200,1.57,0
attendance,OK,0,,,200,1.17,0
league_transactions,OK,0,,,200,0.99,0
league_per_100_possessions,OK,0,,,200,2.22,0
league_shooting,OK,0,,,200,2.1,0
playoff_per_game,OK,0,,,200,1.5,0
playoff_totals,OK,0,,,200,1.6,0
draft_picks,OK,0,,,200,0.86,0
season_leaders,OK,0,,,200,0.75,0
career_leaders,OK,0,,,200,0.87,0
playoff_bracket,OK,0,,,200,0.93,0
season_awards,OK,0,,,200,0.89,0
player_career_stats,OK,0,,,200,3.43,0
player_playoff_series,OK,0,,,200,0.79,0
player_splits,OK,0,,,200,0.54,0
player_on_off,OK,0,,,200,1.98,0
